# q = 1.8153361174005404e+01 m1 = 9.4778984268530453e-01 m2 = 5.2210157314695332e-02 chi1 = 9.3312665151825458e-01 chi2 = 4.2824963485893319e-02 lm = 21 Mtot = 2.7453213230060959e+02 distance = 7.9370079055085316e+03
#fHz   cexp_i_alpha(re im)   cexp_i_epsilon(re im)    cexp_i_betah(re im)
3.8875000000000000e+01  6.4882910029448171e+00  -4.1228739838007922e-01  4.8757862898744217e-02
3.9125000000000000e+01  6.5010020788949632e+00  -4.1549634648082190e-01  4.8802734809035853e-02
3.9375000000000000e+01  6.5135190502667175e+00  -4.1886730418650675e-01  4.8844065149365394e-02
3.9625000000000000e+01  6.5258446483504331e+00  -4.2239776088653880e-01  4.8881950832760014e-02
3.9875000000000000e+01  6.5379815843000273e+00  -4.2608522332942833e-01  4.8916490320828093e-02
4.0125000000000000e+01  6.5499325412039155e+00  -4.2992722351924462e-01  4.8947779347557140e-02
4.0375000000000000e+01  6.5617001526012482e+00  -4.3392133999098315e-01  4.8975909838393186e-02
4.0625000000000007e+01  6.5732870397459262e+00  -4.3806516109205917e-01  4.9000974685018253e-02
4.0875000000000000e+01  6.5846958071438237e+00  -4.4235628944249017e-01  4.9023065719314689e-02
4.1125000000000000e+01  6.5959289555001277e+00  -4.4679242793001039e-01  4.9042267891454300e-02
4.1375000000000000e+01  6.6069890546864984e+00  -4.5137120900778838e-01  4.9058671808732801e-02
4.1625000000000007e+01  6.6178785575538051e+00  -4.5609037855036760e-01  4.9072360765299645e-02
4.1875000000000000e+01  6.6285998963068167e+00  -4.6094770075940517e-01  4.9083417730225863e-02
4.2125000000000000e+01  6.6391555600694510e+00  -4.6594088160961578e-01  4.9091928086084979e-02
4.2375000000000000e+01  6.6495477895691568e+00  -4.7106787037089370e-01  4.9097966222717553e-02
4.2625000000000000e+01  6.6597790438918638e+00  -4.7632639874742511e-01  4.9101615740613190e-02
4.2875000000000007e+01  6.6698516013457221e+00  -4.8171437504442682e-01  4.9102952411841871e-02
4.3125000000000000e+01  6.6797676810501629e+00  -4.8722976415273944e-01  4.9102050010463208e-02
4.3375000000000000e+01  6.6895295749560075e+00  -4.9287045718046585e-01  4.9098984314005091e-02
4.3625000000000000e+01  6.6991394396242345e+00  -4.9863447714241271e-01  4.9093826357776614e-02
4.3875000000000007e+01  6.7085994703186360e+00  -5.0451980703080945e-01  4.9086647840925889e-02
4.4125000000000000e+01  6.7179118456794340e+00  -5.1052444448168011e-01  4.9077519200412173e-02
4.4375000000000000e+01  6.7270786277825385e+00  -5.1664650054233352e-01  4.9066507240029138e-02
4.4625000000000000e+01  6.7361017340181295e+00  -5.2288422751696739e-01  4.9053675090276937e-02
4.4875000000000000e+01  6.7449833982012439e+00  -5.2923556335006561e-01  4.9039092324698101e-02
4.5125000000000000e+01  6.7537255164676138e+00  -5.3569877797338927e-01  4.9022820199750794e-02
4.5375000000000000e+01  6.7623301115697050e+00  -5.4227201453917750e-01  4.9004921960328691e-02
4.5625000000000000e+01  6.7707989698244102e+00  -5.4895364825010562e-01  4.8985455610163604e-02
4.5875000000000000e+01  6.7791341416502870e+00  -5.5574179165123327e-01  4.8964483307937220e-02
4.6125000000000007e+01  6.7873374529608412e+00  -5.6263477758759839e-01  4.8942062235128647e-02
4.6374999999999993e+01  6.7954106729089077e+00  -5.6963099344912882e-01  4.8918247973098426e-02
4.6625000000000007e+01  6.8033556439302849e+00  -5.7672875261503487e-01  4.8893096530006272e-02
4.6875000000000000e+01  6.8111742041606167e+00  -5.8392637114807266e-01  4.8866662884733167e-02
4.7125000000000007e+01  6.8188680313741195e+00  -5.9122232214728054e-01  4.8838998811491750e-02
4.7375000000000000e+01  6.8264387773113322e+00  -5.9861510295888287e-01  4.8810155028838474e-02
4.7625000000000000e+01  6.8338881397434212e+00  -6.0610316391553187e-01  4.8780182108782245e-02
4.7875000000000000e+01  6.8412179241355506e+00  -6.1368484731531758e-01  4.8749131029372221e-02
4.8125000000000000e+01  6.8484296027338614e+00  -6.2135882359478467e-01  4.8717047718733704e-02
4.8375000000000007e+01  6.8555248081919089e+00  -6.2912360307374549e-01  4.8683979341910433e-02
4.8624999999999993e+01  6.8625050749923480e+00  -6.3697779175599889e-01  4.8649971074549485e-02
4.8875000000000007e+01  6.8693719669850530e+00  -6.4491996516314609e-01  4.8615067597310636e-02
4.9125000000000000e+01  6.8761270601944346e+00  -6.5294868534643502e-01  4.8579312831357496e-02
4.9375000000000007e+01  6.8827718443603638e+00  -6.6106259833561198e-01  4.8542748920259844e-02
4.9625000000000000e+01  6.8893077586805296e+00  -6.6926039880854615e-01  4.8505416701034719e-02
4.9875000000000000e+01  6.8957360925472901e+00  -6.7754092838480640e-01  4.8467354843950976e-02
5.0125000000000000e+01  6.9020585478864813e+00  -6.8590261893347337e-01  4.8428604990898669e-02
5.0375000000000000e+01  6.9082761694711037e+00  -6.9434455158282793e-01  4.8389202044078254e-02
5.0625000000000007e+01  6.9143907942786420e+00  -7.0286502174653798e-01  4.8349186972083180e-02
5.0874999999999993e+01  6.9204032291228330e+00  -7.1146334361008368e-01  4.8308591250278768e-02
5.1125000000000007e+01  6.9263151817957578e+00  -7.2013793785512314e-01  4.8267453023693535e-02
5.1375000000000000e+01  6.9321279158375502e+00  -7.2888766379526615e-01  4.8225805937067726e-02
5.1625000000000007e+01  6.9378423753478478e+00  -7.3771169595796637e-01  4.8183680596940191e-02
5.1875000000000000e+01  6.9434602097262372e+00  -7.4660850893914787e-01  4.8141112030304210e-02
5.2125000000000000e+01  6.9489825054197487e+00  -7.5557713376092162e-01  4.8098130335828451e-02
5.2375000000000000e+01  6.9544105961068450e+00  -7.6461635527411520e-01  4.8054766586819390e-02
5.2625000000000000e+01  6.9597455422674122e+00  -7.7372522783375297e-01  4.8011049267853136e-02
5.2875000000000007e+01  6.9649883446174492e+00  -7.8290286388547869e-01  4.7967005842368425e-02
5.3124999999999993e+01  6.9701404943238154e+00  -7.9214788859123564e-01  4.7922666081922687e-02
5.3375000000000007e+01  6.9752031346700187e+00  -8.0145927069701584e-01  4.7878056756657517e-02
5.3625000000000000e+01  6.9801770442163260e+00  -8.1083633940997490e-01  4.7833201857542522e-02
5.3875000000000007e+01  6.9850635317550216e+00  -8.2027789717252420e-01  4.7788127770486306e-02
5.4125000000000000e+01  6.9898637016994023e+00  -8.2978294790252916e-01  4.7742858945491490e-02
5.4375000000000000e+01  6.9945785758641454e+00  -8.3935057632299515e-01  4.7697418683662597e-02
5.4625000000000000e+01  6.9992095814258430e+00  -8.4897946401876734e-01  4.7651831635937746e-02
5.4875000000000007e+01  7.0037573532233539e+00  -8.5866907733782671e-01  4.7606117716283050e-02
5.5125000000000007e+01  7.0082227779005253e+00  -8.6841863191504931e-01  4.7560297561610065e-02
5.5374999999999993e+01  7.0126069892502345e+00  -8.7822709718248460e-01  4.7514392331417493e-02
5.5625000000000007e+01  7.0169111683458212e+00  -8.8809339458721892e-01  4.7468422664744457e-02
5.5875000000000000e+01  7.0211362709300724e+00  -8.9801666810015002e-01  4.7422407465112074e-02
5.6125000000000007e+01  7.0252830686842556e+00  -9.0799624338536633e-01  4.7376364227936549e-02
5.6375000000000000e+01  7.0293527358969348e+00  -9.1803104559443760e-01  4.7330311544838431e-02
5.6625000000000000e+01  7.0333460567599833e+00  -9.2812038606257463e-01  4.7284265715348335e-02
5.6875000000000000e+01  7.0372635776441541e+00  -9.3826381134301728e-01  4.7238241563403401e-02
5.7125000000000007e+01  7.0411071802443823e+00  -9.4845954142946409e-01  4.7192258487623151e-02
5.7375000000000007e+01  7.0448771272277408e+00  -9.5870740264299892e-01  4.7146328937540206e-02
5.7624999999999993e+01  7.0485743045406739e+00  -9.6900660171378927e-01  4.7100467248783723e-02
5.7875000000000007e+01  7.0521995514978508e+00  -9.7935639080798698e-01  4.7054687001739981e-02
5.8125000000000000e+01  7.0557536830235907e+00  -9.8975604547743634e-01  4.7009001129086264e-02
5.8375000000000000e+01  7.0592385020833470e+00  -1.0002038590020277e+00  4.6963425267976686e-02
5.8625000000000000e+01  7.0626532326674232e+00  -1.0107006854835068e+00  4.6917965859798925e-02
5.8875000000000000e+01  7.0660000312654052e+00  -1.0212444653556232e+00  4.6872638546243059e-02
5.9125000000000000e+01  7.0692792662036741e+00  -1.0318349144916659e+00  4.6827452510619740e-02
